Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
151,Bournemouth,2019-03-30,Leicester City,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,16,14,0,2,0,0,0,Match Report
152,Wolves,2019-03-30,Burnley,eng Premier League,L 0-2,0,2,-2,62,0,0,0,0,16,15,0,1,0,0,0,Match Report
153,Liverpool,2019-03-17,Fulham,eng Premier League,W 2-1,2,1,+1,62,1,1,1,0,28,22,2,1,2,1,0,Match Report
154,Everton,2019-03-17,Chelsea,eng Premier League,W 2-0,2,0,+2,33,2,0,1,1,23,11,4,1,4,2,1,Match Report
155,Fulham,2019-03-17,Liverpool,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,10,8,0,1,1,0,0,Match Report
156,Chelsea,2019-03-17,Everton,eng Premier League,L 0-2,0,2,-2,67,0,0,0,0,33,27,1,3,1,1,0,Match Report
157,Leicester City,2019-03-16,Burnley,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,18,14,1,1,1,1,0,Match Report
158,West Ham,2019-03-16,Huddersfield,eng Premier League,W 4-3,4,3,+1,64,3,1,1,0,27,15,4,1,2,4,1,Match Report
159,Newcastle Utd,2019-03-16,Bournemouth,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,21,18,0,1,1,1,0,Match Report
160,Bournemouth,2019-03-16,Newcastle Utd,eng Premier League,D 2-2,2,2,0,49,1,1,1,0,16,8,4,0,0,3,1,Match Report
161,Huddersfield,2019-03-16,West Ham,eng Premier League,L 3-4,3,4,-1,36,3,0,0,0,23,11,5,0,5,2,0,Match Report
162,Burnley,2019-03-16,Leicester City,eng Premier League,L 1-2,1,2,-1,62,1,0,0,0,24,18,2,0,2,1,1,Match Report
163,Manchester Utd,2019-03-10,Arsenal,eng Premier League,L 0-2,0,2,-2,54,0,0,0,0,26,21,0,1,2,2,0,Match Report
164,Liverpool,2019-03-10,Burnley,eng Premier League,W 4-2,4,2,+2,67,4,0,0,0,40,33,3,1,0,1,2,Match Report
165,Arsenal,2019-03-10,Manchester Utd,eng Premier League,W 2-0,2,0,+2,46,1,1,1,0,24,19,3,0,0,1,1,Match Report
166,Chelsea,2019-03-10,Wolves,eng Premier League,D 1-1,1,1,0,76,1,0,0,0,40,28,2,4,3,2,1,Match Report
167,Wolves,2019-03-10,Chelsea,eng Premier League,D 1-1,1,1,0,24,1,0,0,0,4,2,1,0,0,1,0,Match Report
168,Burnley,2019-03-10,Liverpool,eng Premier League,L 2-4,2,4,-2,33,2,0,0,0,5,5,0,0,0,0,0,Match Report
169,Cardiff City,2019-03-09,West Ham,eng Premier League,W 2-0,2,0,+2,30,2,0,0,0,24,14,2,2,3,2,1,Match Report
170,Bournemouth,2019-03-09,Huddersfield,eng Premier League,W 2-0,2,0,+2,43,2,0,0,0,16,15,0,0,0,1,0,Match Report
171,West Ham,2019-03-09,Cardiff City,eng Premier League,L 0-2,0,2,-2,70,0,0,0,0,14,13,0,0,1,0,0,Match Report
172,Huddersfield,2019-03-09,Bournemouth,eng Premier League,L 0-2,0,2,-2,57,0,0,0,0,16,10,2,1,1,2,0,Match Report
173,Crystal Palace,2019-03-09,Brighton,eng Premier League,L 1-2,1,2,-1,62,0,1,1,0,25,21,1,1,1,1,0,Match Report
174,Brighton,2019-03-09,Crystal Palace,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,7,6,0,1,0,0,0,Match Report
175,Fulham,2019-03-09,Leicester City,eng Premier League,L 1-3,1,3,-2,48,1,0,0,0,12,11,0,1,0,0,0,Match Report
176,Southampton,2019-03-09,Tottenham,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,19,11,0,6,0,1,1,Match Report
177,Manchester City,2019-03-09,Watford,eng Premier League,W 3-1,3,1,+2,71,3,0,0,0,36,27,4,1,3,1,0,Match Report
178,Leicester City,2019-03-09,Fulham,eng Premier League,W 3-1,3,1,+2,52,3,0,0,0,29,22,1,3,1,0,2,Match Report
179,Tottenham,2019-03-09,Southampton,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,30,22,3,2,1,1,1,Match Report
180,Watford,2019-03-09,Manchester City,eng Premier League,L 1-3,1,3,-2,29,1,0,0,0,4,2,1,0,0,1,0,Match Report
181,Everton,2019-03-09,Newcastle Utd,eng Premier League,L 2-3,2,3,-1,55,2,0,0,0,11,10,0,0,0,0,1,Match Report
182,Newcastle Utd,2019-03-09,Everton,eng Premier League,W 3-2,3,2,+1,45,3,0,1,1,32,22,3,2,4,1,0,Match Report
183,Everton,2019-03-03,Liverpool,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,11,7,3,0,0,1,0,Match Report
184,Liverpool,2019-03-03,Everton,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,18,12,2,2,1,1,0,Match Report
185,Chelsea,2019-03-03,Fulham,eng Premier League,W 2-1,2,1,+1,63,2,0,0,0,38,35,0,0,1,1,1,Match Report
186,Leicester City,2019-03-03,Watford,eng Premier League,L 1-2,1,2,-1,61,1,0,0,0,24,16,2,3,1,2,0,Match Report
187,Watford,2019-03-03,Leicester City,eng Premier League,W 2-1,2,1,+1,39,2,0,0,0,10,6,1,0,1,2,0,Match Report
188,Fulham,2019-03-03,Chelsea,eng Premier League,L 1-2,1,2,-1,37,1,0,0,0,19,12,2,1,2,0,2,Match Report
189,Newcastle Utd,2019-03-02,West Ham,eng Premier League,L 0-2,0,2,-2,44,0,0,0,0,34,29,1,1,2,1,0,Match Report
190,Brighton,2019-03-02,Huddersfield,eng Premier League,W 1-0,1,0,+1,54,1,0,0,0,24,20,4,0,0,0,0,Match Report
191,Wolves,2019-03-02,Cardiff City,eng Premier League,W 2-0,2,0,+2,56,2,0,0,0,24,16,3,2,3,0,0,Match Report
192,Southampton,2019-03-02,Manchester Utd,eng Premier League,L 2-3,2,3,-1,36,2,0,0,0,16,12,2,0,1,1,0,Match Report
193,Crystal Palace,2019-03-02,Burnley,eng Premier League,W 3-1,3,1,+2,43,2,0,0,0,17,12,2,3,0,0,0,Match Report
194,Huddersfield,2019-03-02,Brighton,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,9,9,0,0,0,0,0,Match Report
