Rk,Team,Date,Opp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
131,Leicester City,2022-04-17,Newcastle Utd,L 1-2,1,2,-1,68,1,0,0,0,745,53,205,255,156,21,745,Match Report
132,Newcastle Utd,2022-04-17,Leicester City,W 2-1,2,1,+1,32,2,0,0,0,432,58,139,184,118,21,432,Match Report
133,West Ham,2022-04-17,Burnley,D 1-1,1,1,0,61,1,0,0,0,668,59,204,255,204,34,668,Match Report
134,Burnley,2022-04-17,West Ham,D 1-1,1,1,0,39,1,0,1,1,473,72,146,209,124,18,472,Match Report
135,Southampton,2022-04-16,Arsenal,W 1-0,1,0,+1,25,1,0,0,0,369,73,165,121,85,13,369,Match Report
136,Tottenham,2022-04-16,Brighton,L 0-1,0,1,-1,49,0,0,0,0,600,81,255,241,80,14,600,Match Report
137,Norwich City,2022-04-16,Manchester Utd,L 2-3,2,3,-1,39,2,0,0,0,526,82,209,219,107,21,526,Match Report
138,Watford,2022-04-16,Brentford,L 1-2,1,2,-1,50,1,0,0,0,577,45,182,229,169,23,577,Match Report
139,Manchester Utd,2022-04-16,Norwich City,W 3-2,3,2,+1,61,3,0,0,0,774,55,162,255,255,46,774,Match Report
140,Brentford,2022-04-16,Watford,W 2-1,2,1,+1,50,2,0,0,0,563,66,214,192,165,26,563,Match Report
141,Arsenal,2022-04-16,Southampton,L 0-1,0,1,-1,75,0,0,0,0,830,46,166,255,255,30,830,Match Report
142,Brighton,2022-04-16,Tottenham,W 1-0,1,0,+1,51,1,0,0,0,628,54,171,255,163,22,628,Match Report
143,Liverpool,2022-04-10,Manchester City,D 2-2,2,2,0,45,2,0,0,0,612,94,244,255,112,18,612,Match Report
144,West Ham,2022-04-10,Brentford,L 0-2,0,2,-2,53,0,0,0,0,690,78,214,255,126,12,690,Match Report
145,Crystal Palace,2022-04-10,Leicester City,L 1-2,1,2,-1,49,1,0,1,1,641,87,255,255,85,23,640,Match Report
146,Burnley,2022-04-10,Norwich City,L 0-2,0,2,-2,55,0,0,0,0,600,49,178,220,213,28,600,Match Report
147,Norwich City,2022-04-10,Burnley,W 2-0,2,0,+2,45,2,0,0,0,518,86,229,156,144,20,518,Match Report
148,Manchester City,2022-04-10,Liverpool,D 2-2,2,2,0,55,2,0,0,0,708,84,255,255,140,30,708,Match Report
149,Brentford,2022-04-10,West Ham,W 2-0,2,0,+2,47,2,0,0,0,612,71,249,217,150,34,612,Match Report
150,Leicester City,2022-04-10,Crystal Palace,W 2-1,2,1,+1,51,2,0,0,0,650,66,206,255,121,14,650,Match Report
151,Brighton,2022-04-09,Arsenal,W 2-1,2,1,+1,36,2,0,0,0,440,78,187,169,88,8,440,Match Report
152,Manchester Utd,2022-04-09,Everton,L 0-1,0,1,-1,67,0,0,0,0,825,52,215,255,255,42,825,Match Report
153,Arsenal,2022-04-09,Brighton,L 1-2,1,2,-1,64,1,0,0,0,652,21,154,255,185,36,652,Match Report
154,Southampton,2022-04-09,Chelsea,L 0-6,0,6,-6,30,0,0,0,0,446,49,154,194,103,9,446,Match Report
155,Everton,2022-04-09,Manchester Utd,W 1-0,1,0,+1,33,1,0,0,0,496,76,189,195,119,13,496,Match Report
156,Tottenham,2022-04-09,Aston Villa,W 4-0,4,0,+4,48,4,0,0,0,602,100,255,236,72,15,602,Match Report
157,Leeds United,2022-04-09,Watford,W 3-0,3,0,+3,51,3,0,0,0,611,38,235,255,119,9,611,Match Report
158,Watford,2022-04-09,Leeds United,L 0-3,0,3,-3,49,0,0,0,0,593,44,175,255,175,13,593,Match Report
159,Chelsea,2022-04-09,Southampton,W 6-0,6,0,+6,70,6,0,0,0,893,42,180,255,190,28,893,Match Report
160,Aston Villa,2022-04-09,Tottenham,L 0-4,0,4,-4,52,0,0,0,0,626,37,114,255,230,33,626,Match Report
161,Wolves,2022-04-08,Newcastle Utd,L 0-1,0,1,-1,58,0,0,0,0,673,68,242,255,124,8,673,Match Report
162,Newcastle Utd,2022-04-08,Wolves,W 1-0,1,0,+1,42,0,1,1,0,502,36,154,248,106,17,501,Match Report
163,Burnley,2022-04-06,Everton,W 3-2,3,2,+1,52,3,0,0,0,544,70,187,199,164,38,544,Match Report
164,Everton,2022-04-06,Burnley,L 2-3,2,3,-1,48,0,2,2,0,507,60,157,152,206,33,505,Match Report
165,Crystal Palace,2022-04-04,Arsenal,W 3-0,3,0,+3,32,2,1,1,0,436,49,193,173,79,9,435,Match Report
166,Arsenal,2022-04-04,Crystal Palace,L 0-3,0,3,-3,68,0,0,0,0,791,41,187,255,209,21,791,Match Report
167,West Ham,2022-04-03,Everton,W 2-1,2,1,+1,55,2,0,0,0,643,66,210,255,114,19,643,Match Report
168,Tottenham,2022-04-03,Newcastle Utd,W 5-1,5,1,+4,60,5,0,0,0,713,67,229,255,147,29,713,Match Report
169,Everton,2022-04-03,West Ham,L 1-2,1,2,-1,45,1,0,0,0,546,63,169,230,152,20,546,Match Report
170,Newcastle Utd,2022-04-03,Tottenham,L 1-5,1,5,-4,40,1,0,0,0,498,66,167,222,115,14,498,Match Report
171,Burnley,2022-04-02,Manchester City,L 0-2,0,2,-2,24,0,0,0,0,345,62,158,141,51,4,345,Match Report
172,Norwich City,2022-04-02,Brighton,D 0-0,0,0,0,37,0,0,0,0,455,91,230,167,62,13,455,Match Report
173,Leicester City,2022-04-02,Manchester Utd,D 1-1,1,1,0,46,1,0,0,0,627,71,208,255,131,15,627,Match Report
174,Brentford,2022-04-02,Chelsea,W 4-1,4,1,+3,30,4,0,0,0,418,86,177,137,108,23,418,Match Report
175,Chelsea,2022-04-02,Brentford,L 1-4,1,4,-3,70,1,0,0,0,801,59,196,255,255,33,801,Match Report
176,Manchester Utd,2022-04-02,Leicester City,D 1-1,1,1,0,54,1,0,0,0,714,57,203,255,196,29,714,Match Report
177,Manchester City,2022-04-02,Burnley,W 2-0,2,0,+2,76,2,0,0,0,872,57,245,255,207,35,872,Match Report
178,Brighton,2022-04-02,Norwich City,D 0-0,0,0,0,63,0,0,1,1,654,37,109,255,255,42,653,Match Report
179,Aston Villa,2022-04-02,Wolves,L 1-2,1,2,-1,51,0,1,1,0,598,53,167,255,134,26,597,Match Report
180,Wolves,2022-04-02,Aston Villa,W 2-1,2,1,+1,49,1,0,0,0,571,82,255,222,95,17,571,Match Report
181,Watford,2022-04-02,Liverpool,L 0-2,0,2,-2,27,0,0,0,0,419,72,184,176,67,6,419,Match Report
182,Liverpool,2022-04-02,Watford,W 2-0,2,0,+2,73,1,1,1,0,880,35,165,255,251,25,879,Match Report
183,Southampton,2022-04-02,Leeds United,D 1-1,1,1,0,44,1,0,0,0,540,67,168,213,169,35,540,Match Report
184,Leeds United,2022-04-02,Southampton,D 1-1,1,1,0,56,1,0,0,0,660,77,232,255,146,36,660,Match Report
185,Leicester City,2022-03-20,Brentford,W 2-1,2,1,+1,52,2,0,0,0,665,103,255,255,137,15,665,Match Report
186,Brentford,2022-03-20,Leicester City,L 1-2,1,2,-1,48,1,0,0,0,596,67,221,226,155,35,596,Match Report
187,Tottenham,2022-03-20,West Ham,W 3-1,3,1,+2,53,2,0,0,0,704,41,176,255,171,21,704,Match Report
188,West Ham,2022-03-20,Tottenham,L 1-3,1,3,-2,47,1,0,0,0,655,66,175,255,120,11,655,Match Report
189,Aston Villa,2022-03-19,Arsenal,L 0-1,0,1,-1,47,0,0,0,0,570,78,212,228,136,18,570,Match Report
190,Arsenal,2022-03-19,Aston Villa,W 1-0,1,0,+1,53,1,0,0,0,641,59,175,255,155,24,641,Match Report
191,Wolves,2022-03-18,Leeds United,L 2-3,2,3,-1,48,2,0,0,0,565,64,232,220,116,24,565,Match Report
192,Leeds United,2022-03-18,Wolves,W 3-2,3,2,+1,52,3,0,0,0,602,49,206,255,108,23,602,Match Report
193,Everton,2022-03-17,Newcastle Utd,W 1-0,1,0,+1,39,1,0,0,0,435,76,146,205,88,10,435,Match Report
194,Newcastle Utd,2022-03-17,Everton,L 0-1,0,1,-1,61,0,0,0,0,611,39,186,255,150,26,611,Match Report
195,Arsenal,2022-03-16,Liverpool,L 0-2,0,2,-2,49,0,0,0,0,653,56,245,255,147,9,653,Match Report
196,Liverpool,2022-03-16,Arsenal,W 2-0,2,0,+2,51,2,0,0,0,669,66,207,255,122,16,669,Match Report
197,Brighton,2022-03-16,Tottenham,L 0-2,0,2,-2,48,0,0,0,0,640,57,153,255,199,24,640,Match Report
198,Tottenham,2022-03-16,Brighton,W 2-0,2,0,+2,52,2,0,0,0,696,74,255,255,134,20,696,Match Report
199,Crystal Palace,2022-03-14,Manchester City,D 0-0,0,0,0,27,0,0,0,0,407,106,231,131,54,13,407,Match Report
200,Manchester City,2022-03-14,Crystal Palace,D 0-0,0,0,0,73,0,0,0,0,914,49,194,255,255,46,914,Match Report
201,Leicester City,2022-03-13,Arsenal,L 0-2,0,2,-2,54,0,0,0,0,701,79,228,255,131,16,701,Match Report
202,Leeds United,2022-03-13,Norwich City,W 2-1,2,1,+1,52,2,0,0,0,611,65,215,237,166,32,611,Match Report
203,Southampton,2022-03-13,Watford,L 1-2,1,2,-1,63,1,0,0,0,678,52,167,255,190,24,678,Match Report
204,Watford,2022-03-13,Southampton,W 2-1,2,1,+1,37,2,0,0,0,481,67,182,189,120,22,481,Match Report
205,Norwich City,2022-03-13,Leeds United,L 1-2,1,2,-1,48,1,0,0,0,556,75,217,220,130,19,556,Match Report
206,Aston Villa,2022-03-13,West Ham,L 1-2,1,2,-1,53,1,0,0,0,642,77,203,255,153,25,642,Match Report
207,West Ham,2022-03-13,Aston Villa,W 2-1,2,1,+1,47,2,0,0,0,599,58,165,255,162,24,599,Match Report
208,Everton,2022-03-13,Wolves,L 0-1,0,1,-1,39,0,0,0,0,504,55,204,217,92,13,504,Match Report
209,Arsenal,2022-03-13,Leicester City,W 2-0,2,0,+2,46,1,1,1,0,622,63,225,255,140,33,621,Match Report
210,Chelsea,2022-03-13,Newcastle Utd,W 1-0,1,0,+1,71,1,0,0,0,708,53,226,255,185,16,708,Match Report
211,Newcastle Utd,2022-03-13,Chelsea,L 0-1,0,1,-1,29,0,0,0,0,362,49,138,130,97,14,362,Match Report
212,Wolves,2022-03-13,Everton,W 1-0,1,0,+1,61,1,0,0,0,739,55,223,255,154,16,739,Match Report
213,Tottenham,2022-03-12,Manchester Utd,L 2-3,2,3,-1,57,0,1,1,0,712,49,172,255,166,25,711,Match Report
214,Manchester Utd,2022-03-12,Tottenham,W 3-2,3,2,+1,43,3,0,0,0,583,59,171,255,120,15,583,Match Report
215,Brighton,2022-03-12,Liverpool,L 0-2,0,2,-2,52,0,0,0,0,589,96,249,223,124,15,589,Match Report
216,Brentford,2022-03-12,Burnley,W 2-0,2,0,+2,55,1,1,1,0,638,86,255,255,114,23,637,Match Report
