Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
104,Chelsea,2018-04-14,Southampton,eng Premier League,W 3-2,3,2,+1,58,3,0,0,0,681,49,206,255,222,22,681,Match Report
105,Leicester City,2018-04-14,Burnley,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,604,42,170,255,166,27,604,Match Report
106,Burnley,2018-04-14,Leicester City,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,438,62,168,194,82,11,438,Match Report
107,Liverpool,2018-04-14,Bournemouth,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,779,49,139,255,209,34,779,Match Report
108,Watford,2018-04-14,Huddersfield,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,551,63,182,255,100,12,551,Match Report
109,Bournemouth,2018-04-14,Liverpool,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,534,86,206,233,96,15,534,Match Report
110,Crystal Palace,2018-04-14,Brighton,eng Premier League,W 3-2,3,2,+1,49,3,0,0,0,535,54,161,222,157,24,535,Match Report
111,Tottenham,2018-04-14,Manchester City,eng Premier League,L 1-3,1,3,-2,48,1,0,0,0,608,56,175,255,162,22,608,Match Report
112,Southampton,2018-04-14,Chelsea,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,533,55,149,255,121,14,533,Match Report
113,Chelsea,2018-04-08,West Ham,eng Premier League,D 1-1,1,1,0,59,1,0,0,0,772,50,186,255,255,47,772,Match Report
114,Arsenal,2018-04-08,Southampton,eng Premier League,W 3-2,3,2,+1,64,3,0,0,0,857,62,194,255,255,17,857,Match Report
115,West Ham,2018-04-08,Chelsea,eng Premier League,D 1-1,1,1,0,41,1,0,0,0,543,80,196,255,90,7,543,Match Report
116,Southampton,2018-04-08,Arsenal,eng Premier League,L 2-3,2,3,-1,36,2,0,0,0,523,49,154,223,149,22,523,Match Report
