Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
149,Bournemouth,2018-03-31,Watford,eng Premier League,D 2-2,2,2,0,50,1,1,1,0,24,15,3,1,2,1,2,Match Report
150,Watford,2018-03-31,Bournemouth,eng Premier League,D 2-2,2,2,0,50,2,0,0,0,22,13,1,3,2,2,1,Match Report
151,Crystal Palace,2018-03-31,Liverpool,eng Premier League,L 1-2,1,2,-1,33,0,1,1,0,10,6,0,1,0,1,2,Match Report
152,Southampton,2018-03-31,West Ham,eng Premier League,L 0-3,0,3,-3,51,0,0,0,0,17,12,2,2,1,0,0,Match Report
153,Huddersfield,2018-03-17,Crystal Palace,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,9,3,3,1,0,1,1,Match Report
154,Everton,2018-03-17,Stoke City,eng Premier League,W 2-1,2,1,+1,57,2,0,0,0,30,21,4,1,2,2,0,Match Report
155,Liverpool,2018-03-17,Watford,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,22,15,2,4,1,0,0,Match Report
156,Stoke City,2018-03-17,Everton,eng Premier League,L 1-2,1,2,-1,43,1,0,0,0,16,12,1,2,0,1,0,Match Report
157,Watford,2018-03-17,Liverpool,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,8,4,1,0,0,2,1,Match Report
158,West Brom,2018-03-17,Bournemouth,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,21,15,1,1,3,0,1,Match Report
159,Bournemouth,2018-03-17,West Brom,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,33,23,2,2,1,4,1,Match Report
160,Crystal Palace,2018-03-17,Huddersfield,eng Premier League,W 2-0,2,0,+2,45,1,1,1,0,28,15,3,5,2,3,0,Match Report
161,Stoke City,2018-03-12,Manchester City,eng Premier League,L 0-2,0,2,-2,24,0,0,0,0,6,5,0,1,0,0,0,Match Report
162,Manchester City,2018-03-12,Stoke City,eng Premier League,W 2-0,2,0,+2,76,2,0,0,0,33,29,1,2,0,1,0,Match Report
163,Arsenal,2018-03-11,Watford,eng Premier League,W 3-0,3,0,+3,59,3,0,0,0,21,16,2,2,0,1,0,Match Report
164,Watford,2018-03-11,Arsenal,eng Premier League,L 0-3,0,3,-3,41,0,0,1,1,18,13,1,1,1,2,0,Match Report
165,Bournemouth,2018-03-11,Tottenham,eng Premier League,L 1-4,1,4,-3,37,1,0,0,0,24,17,1,3,2,1,0,Match Report
166,Tottenham,2018-03-11,Bournemouth,eng Premier League,W 4-1,4,1,+3,63,4,0,0,0,22,18,1,2,1,0,0,Match Report
167,Liverpool,2018-03-10,Manchester Utd,eng Premier League,L 1-2,1,2,-1,67,0,0,0,0,24,18,4,1,1,0,0,Match Report
168,Swansea City,2018-03-10,Huddersfield,eng Premier League,D 0-0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,Match Report
169,Huddersfield,2018-03-10,Swansea City,eng Premier League,D 0-0,0,0,0,80,0,0,0,0,58,51,2,1,2,2,0,Match Report
170,Everton,2018-03-10,Brighton,eng Premier League,W 2-0,2,0,+2,59,1,0,1,1,24,15,2,3,0,4,0,Match Report
171,Brighton,2018-03-10,Everton,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,14,11,1,0,1,1,0,Match Report
172,Chelsea,2018-03-10,Crystal Palace,eng Premier League,W 2-1,2,1,+1,62,1,0,0,0,49,40,2,3,3,1,0,Match Report
173,Newcastle Utd,2018-03-10,Southampton,eng Premier League,W 3-0,3,0,+3,37,3,0,0,0,12,10,1,0,0,0,1,Match Report
174,Leicester City,2018-03-10,West Brom,eng Premier League,W 4-1,4,1,+3,56,4,0,0,0,28,24,2,2,0,0,0,Match Report
175,Burnley,2018-03-10,West Ham,eng Premier League,W 3-0,3,0,+3,48,3,0,0,0,13,10,1,0,1,1,0,Match Report
176,West Ham,2018-03-10,Burnley,eng Premier League,L 0-3,0,3,-3,52,0,0,0,0,26,21,2,1,1,0,1,Match Report
177,West Brom,2018-03-10,Leicester City,eng Premier League,L 1-4,1,4,-3,44,1,0,0,0,9,7,1,1,0,0,0,Match Report
178,Crystal Palace,2018-03-10,Chelsea,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,14,9,1,1,2,1,0,Match Report
179,Southampton,2018-03-10,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,63,0,0,0,0,12,8,2,1,1,0,0,Match Report
180,Manchester Utd,2018-03-10,Liverpool,eng Premier League,W 2-1,2,1,+1,33,2,0,0,0,9,5,2,1,0,1,0,Match Report
181,Manchester Utd,2018-03-05,Crystal Palace,eng Premier League,W 3-2,3,2,+1,69,3,0,0,0,31,25,0,2,3,1,0,Match Report
182,Crystal Palace,2018-03-05,Manchester Utd,eng Premier League,L 2-3,2,3,-1,31,2,0,0,0,19,12,2,4,0,1,0,Match Report
